FIELD;RA;DEC;BEGIN OBS;END OBS;MED OBS;I;Q;error Q;U;error U ;BAND;CONDITION;CLOUDS;CLEAR;SUN;SEEING
F10;71.42771;17.19769;2021-01-27T02:36:13;2021-01-27T02:40:38;2021-01-27T02:38:26;10719.21201;0.059852;0.002643;-0.058661;0.004082;I;ok;0;1;0;1.608
F11;82.95929;12.62319;2021-01-26T02:58:30;2021-01-26T03:05:05;2021-01-26T03:01:48;5867.126423;0.025901;0.002972;-0.064564;0.004243;I;clouds;1;0;0;0.865
F17;133.1520;24.72839;2021-01-27T03:43:29;2021-01-27T03:47:35;2021-01-27T03:45:32;15302.09626;0.041577;0.003197;0.0082990;0.004008;I;ok;0;1;0;0.905
9090-7;138.0010;-7.84645;2021-01-27T04:28:18;2021-01-27T04:32:54;2021-01-27T04:30:36;7120.252446;-0.008174;0.003054;0.127448;0.003717;I;ok;0;1;0;0.808
F64;156.5880;-0.12736;2021-01-27T05:15:34;2021-01-27T05:20:29;2021-01-27T05:18:02;7675.876561;0.087834;0.003299;0.147273;0.004176;I;ok;0;1;0;0.730
F23;173.4130;13.44331;2021-01-27T06:09:26;2021-01-27T06:15:13;2021-01-27T06:12:20;9453.356664;0.189766;0.003522;0.147416;0.004161;I;ok;0;1;0;0.768
CT2;194.38792;-2.38783;2021-01-27T07:08:46;2021-01-27T07:15:19;2021-01-27T07:12:03;8064.176012;0.024610;0.004058;0.245572;0.004151;I;ok;0;1;0;1.93
F74;235.7310;-34.1110;2021-01-27T08:00:46;2021-01-27T08:06:05;2021-01-27T08:03:26;8445.207815;0.150816;0.003144;0.007876;0.004105;I;ok;0;1;0;0.638
F65;166.3910;-77.77269;2021-01-27T08:39:38;2021-01-27T08:43:12;2021-01-27T08:41:25;3296.341596;0.097194;0.003710;0.249015;0.004038;I;ok;0;1;0;0.68
1101-264;166.20418;-27.00247;2021-01-27T09:17:29;2021-01-27T09:21:17;2021-01-27T09:19:23;2652.313057;-0.009898;0.003279;0.197499;0.003940;I;sun;0;0;1;0.828
ORIG-CT1;151.112395;-2.31674;2017-03-12T01:05:50;2017-03-12T01:05:50;2017-03-12T01:05:50;68495.788;0.009959;0.001854;-0.022843;0.002313;B;ok;0;1;0;0.890
ORIG-CT2;151.112396;-2.31674;2017-03-12T01:41:48;2017-03-12T01:41:48;2017-03-12T01:41:48;65284.8055;0.01355;0.002374;-0.035962;0.002683;V;ok;0;1;0;1.22
ORIG-CT3;151.112397;-2.31674;2017-03-12T01:05:50;2017-03-12T02:03:41;2017-03-12T02:03:41;67646.88685;0.008805;0.002508;-0.029549;0.003346;R;ok;0;1;0;1.06
ORIG-CT4;151.112398;-2.31674;2017-03-12T01:05:53;2017-03-12T02:26:17;2017-03-12T02:26:17;61893.01025;0.004283;0.002849;-0.022303;0.003926;I;ok;0;1;0;0.94
